disc_conv2 - mean: 0.071615, std: 0.096339, max: 1.381820, min: -0.720334
disc_conv1 - mean: 0.001358, std: 0.138649, max: 0.549200, min: -0.624857
disc_conv2 - mean: 0.069635, std: 0.099232, max: 1.065812, min: -0.702226
disc_conv1 - mean: 0.001161, std: 0.139038, max: 0.482707, min: -0.633138
disc_conv2 - mean: 0.070506, std: 0.094622, max: 1.064835, min: -0.682952
disc_conv1 - mean: 0.001090, std: 0.138617, max: 0.511852, min: -0.632074
disc_conv2 - mean: 0.069278, std: 0.096806, max: 1.130471, min: -0.747993
disc_conv1 - mean: 0.001176, std: 0.138048, max: 0.573894, min: -0.631231
disc_conv2 - mean: 0.067399, std: 0.101025, max: 1.100168, min: -0.729393
disc_conv1 - mean: 0.001108, std: 0.137864, max: 0.550288, min: -0.647607
disc_conv2 - mean: 0.066339, std: 0.101282, max: 1.211663, min: -0.766936
disc_conv1 - mean: 0.000734, std: 0.138407, max: 0.553377, min: -0.632218
disc_conv2 - mean: 0.068274, std: 0.090247, max: 1.166064, min: -0.778268
disc_conv1 - mean: 0.000673, std: 0.137658, max: 0.477255, min: -0.627991
disc_conv2 - mean: 0.066325, std: 0.092470, max: 1.133336, min: -0.707074
disc_conv1 - mean: 0.000720, std: 0.136349, max: 0.501361, min: -0.620590
disc_conv2 - mean: 0.063361, std: 0.096463, max: 1.155316, min: -0.736904
disc_conv1 - mean: 0.000565, std: 0.136460, max: 0.547908, min: -0.628555
disc_conv2 - mean: 0.062641, std: 0.095166, max: 1.074068, min: -0.723363
disc_conv1 - mean: 0.000628, std: 0.135446, max: 0.528660, min: -0.627283
disc_conv2 - mean: 0.060137, std: 0.099937, max: 1.118503, min: -0.759200
disc_conv1 - mean: 0.000386, std: 0.136060, max: 0.494209, min: -0.621271
disc_conv2 - mean: 0.060412, std: 0.096771, max: 1.242009, min: -0.741627
disc_conv1 - mean: 0.000192, std: 0.135525, max: 0.506683, min: -0.622240
disc_conv2 - mean: 0.060482, std: 0.089537, max: 1.126635, min: -0.734590
disc_conv1 - mean: 0.000313, std: 0.134862, max: 0.563677, min: -0.620227
disc_conv2 - mean: 0.058081, std: 0.096983, max: 1.304449, min: -0.777041
disc_conv1 - mean: 0.000365, std: 0.134352, max: 0.514035, min: -0.623451
disc_conv2 - mean: 0.055740, std: 0.102527, max: 1.125579, min: -0.733475
disc_conv1 - mean: 0.000262, std: 0.133805, max: 0.601663, min: -0.639334
disc_conv2 - mean: 0.055631, std: 0.098806, max: 1.287506, min: -0.832176
disc_conv1 - mean: 0.000158, std: 0.133971, max: 0.494870, min: -0.617995
disc_conv2 - mean: 0.055404, std: 0.098162, max: 1.176707, min: -0.712279
disc_conv1 - mean: 0.000367, std: 0.132603, max: 0.540987, min: -0.623966
disc_conv2 - mean: 0.052483, std: 0.105173, max: 1.191638, min: -0.836081
disc_conv1 - mean: 0.000347, std: 0.132255, max: 0.503628, min: -0.612709
disc_conv2 - mean: 0.051477, std: 0.106228, max: 1.178106, min: -0.728941
disc_conv1 - mean: 0.000085, std: 0.132722, max: 0.503546, min: -0.606672
disc_conv2 - mean: 0.052154, std: 0.101440, max: 1.258104, min: -0.734394
disc_conv1 - mean: 0.000026, std: 0.132431, max: 0.536981, min: -0.608137
disc_conv2 - mean: 0.051172, std: 0.102764, max: 1.202621, min: -0.748152
disc_conv1 - mean: -0.000037, std: 0.132208, max: 0.533956, min: -0.621966
disc_conv2 - mean: 0.050473, std: 0.102233, max: 1.163744, min: -0.767664
disc_conv1 - mean: -0.000385, std: 0.133092, max: 0.506059, min: -0.614229
disc_conv2 - mean: 0.051789, std: 0.093413, max: 1.252987, min: -0.812865
disc_conv1 - mean: -0.000071, std: 0.131232, max: 0.478593, min: -0.656595
disc_conv2 - mean: 0.048508, std: 0.102740, max: 1.243089, min: -0.776342
disc_conv1 - mean: -0.000263, std: 0.131954, max: 0.540847, min: -0.609894
disc_conv2 - mean: 0.048781, std: 0.101228, max: 1.187463, min: -0.724810
disc_conv1 - mean: -0.000286, std: 0.131324, max: 0.524547, min: -0.609189
